id,strategy_name,trade_duration,market_name,symbol,market_category,signal_direction,signal_opening_price,signal_high_price,signal_low_price,signal_closing_price,signal_sma_num,signal_average_price,signal_date,signal_date_day,signal_date_num_day,signal_date_month,signal_date_num_month,signal_date_year,opening_price,starting_date,opening_date_day,opening_date_num_day,opening_date_month,opening_date_num_month,opening_date_year,ending_date,closing_price,closing_hit_after_days,closing_date_day,closing_date_num_day,closing_date_month,closing_date_num_month,closing_date_year,min_lows,min_date,min_hit_after_days,min_date_day,min_date_num_day,min_date_month,min_date_num_month,min_date_year,min_diff_to_open,max_highs,max_date,max_hit_after_days,max_date_day,max_date_num_day,max_date_month,max_date_num_month,max_date_year,max_diff_to_open,min_max_diff,profit,singal_price_diff_to_sma,signal_position_to_sma,gap_size_ontrade_date,gap_position,cumulative_return,sl_is_sl_hit,sl_date,sl_date_day,sl_date_num_day,sl_date_month,sl_date_num_month,sl_date_year,sl_hit_after,sl_closing,sl_loss,sl_count,tp_is_hit,tp_date,tp_date_day,tp_date_num_day,tp_date_month,tp_date_num_month,tp_date_year,tp_hit_after,tp_closing,tp_gain,tp_count
816,monday,8,stock,spy,sp_100_daily,Bear,366.41,370.21,363.0299,364.31,397.1768,366.61995,2022-09-26,Monday,1,September,8,2022,366.41,2022-09-26,Monday,1,September,8,2022,2022-10-06,373.2,8,Thursday,4,October,9,2022,357.04,2022-09-30,4,Friday,5,September,8,2022,9.37,379.46,2022-10-05,7,Wednesday,3,October,9,2022,13.05,-22.42,-6.79,-30.55685,-1,2.1,1,-1.853115363,1,2022-09-28,Wednesday,3,October,9,2022,2,370.53,-4.12,5,1,2022-09-26,Wednesday,3,October,9,2022,0,364.31,2.1,4
817,monday,8,stock,spy,sp_100_daily,Bear,361.08,368.55,359.21,366.61,395.7175,363.88,2022-10-03,Monday,1,October,9,2022,361.08,2022-10-03,Monday,1,October,9,2022,2022-10-13,365.97,8,Thursday,4,October,9,2022,348.11,2022-10-13,8,Thursday,4,October,9,2022,12.97,379.46,2022-10-05,2,Wednesday,3,October,9,2022,18.38,-31.35,-4.89,-31.8375,-1,-5.53,-1,-1.354270522,1,2022-10-03,Wednesday,3,October,9,2022,0,366.61,-5.53,6,1,2022-10-10,Wednesday,3,October,9,2022,5,360.02,1.06,3
818,monday,8,stock,spy,sp_100_daily,Bear,363.96,364.21,357.67,360.02,394.0505,360.94,2022-10-10,Monday,1,October,9,2022,363.96,2022-10-10,Monday,1,October,9,2022,2022-10-20,365.41,8,Thursday,4,October,9,2022,348.11,2022-10-13,3,Thursday,4,October,9,2022,15.85,375.45,2022-10-18,6,Tuesday,2,October,9,2022,11.49,-27.34,-1.45,-33.1105,-1,3.94,1,-0.3983954281,1,2022-10-13,Tuesday,2,October,9,2022,3,365.97,-2.01,5,1,2022-10-10,Tuesday,2,October,9,2022,0,360.02,3.94,4
819,monday,8,stock,spy,sp_100_daily,Bear,364.01,367.9799,357.2808,366.82,390.9268,362.63035,2022-10-17,Monday,1,October,9,2022,364.01,2022-10-17,Monday,1,October,9,2022,2022-10-27,379.98,8,Thursday,4,October,9,2022,357.2808,2022-10-17,0,Monday,1,October,9,2022,6.7292,387.58,2022-10-26,7,Wednesday,3,October,9,2022,23.57,-30.2992,-15.97,-28.29645,-1,-2.81,-1,-4.387242109,1,2022-10-17,Wednesday,3,October,9,2022,0,366.82,-2.81,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820,monday,8,stock,spy,sp_100_daily,Bear,375.89,380.06,373.11,378.87,387.5008,376.585,2022-10-24,Monday,1,October,9,2022,375.89,2022-10-24,Monday,1,October,9,2022,2022-11-03,371.01,8,Thursday,4,November,10,2022,368.79,2022-11-03,8,Thursday,4,November,10,2022,7.1,390.39,2022-11-01,6,Tuesday,2,November,10,2022,14.5,-21.6,4.88,-10.9158,-1,-2.98,-1,1.298252148,1,2022-10-24,Tuesday,2,November,10,2022,0,378.87,-2.98,7,1,2022-11-02,Tuesday,2,November,10,2022,7,374.87,1.02,2
821,monday,8,stock,spy,sp_100_daily,Bear,386.44,388.4,385.26,386.21,384.8866,386.83,2022-10-31,Monday,1,October,9,2022,386.44,2022-10-31,Monday,1,October,9,2022,2022-11-10,394.69,8,Thursday,4,November,10,2022,368.79,2022-11-03,3,Thursday,4,November,10,2022,17.65,395.04,2022-11-10,8,Thursday,4,November,10,2022,8.6,-26.25,-8.25,1.9434,1,0.23,1,-2.134872166,1,2022-11-10,Thursday,4,November,10,2022,8,394.69,-8.25,1,1,2022-10-31,Thursday,4,November,10,2022,0,386.21,0.23,8
822,monday,8,stock,spy,sp_100_daily,Bear,377.71,380.57,375.53,379.95,380.5376,378.05,2022-11-07,Monday,1,November,10,2022,377.71,2022-11-07,Monday,1,November,10,2022,2022-11-17,394.24,8,Thursday,4,November,10,2022,373.61,2022-11-09,2,Wednesday,3,November,10,2022,4.1,402.31,2022-11-15,6,Tuesday,2,November,10,2022,24.6,-28.7,-16.53,-2.4876,-1,-2.24,-1,-4.376373408,1,2022-11-07,Tuesday,2,November,10,2022,0,379.95,-2.24,8,1,2022-11-09,Tuesday,2,November,10,2022,2,374.13,3.58,1
823,monday,8,stock,spy,sp_100_daily,Bear,396.66,400.1799,394.83,395.12,378.2627,397.50495,2022-11-14,Monday,1,November,10,2022,396.66,2022-11-14,Monday,1,November,10,2022,2022-11-25,402.33,8,Friday,5,November,10,2022,390.14,2022-11-17,3,Thursday,4,November,10,2022,6.52,402.93,2022-11-23,7,Wednesday,3,November,10,2022,6.27,-12.79,-5.67,19.24225,1,1.54,1,-1.429435789,1,2022-11-15,Wednesday,3,November,10,2022,1,398.49,-1.83,4,1,2022-11-14,Wednesday,3,November,10,2022,0,395.12,1.54,5
824,monday,8,stock,spy,sp_100_daily,Bear,394.64,395.82,392.66,394.59,378.0723,394.24,2022-11-21,Monday,1,November,10,2022,394.64,2022-11-21,Monday,1,November,10,2022,2022-12-02,406.91,8,Friday,5,December,11,2022,392.66,2022-11-21,0,Monday,1,November,10,2022,1.98,410,2022-12-01,7,Thursday,4,December,11,2022,15.36,-17.34,-12.27,16.1677,1,0.05,1,-3.109162781,1,2022-11-22,Thursday,4,December,11,2022,1,399.9,-5.26,8,1,2022-11-21,Thursday,4,December,11,2022,0,394.59,0.05,1
825,monday,8,stock,spy,sp_100_daily,Bear,399.09,400.81,395.11,395.91,378.533,397.96,2022-11-28,Monday,1,November,10,2022,399.09,2022-11-28,Monday,1,November,10,2022,2022-12-08,396.24,8,Thursday,4,December,11,2022,391.64,2022-12-06,6,Tuesday,2,December,11,2022,7.45,410,2022-12-01,3,Thursday,4,December,11,2022,10.91,-18.36,2.85,19.427,1,3.18,1,0.7141246335,1,2022-11-30,Thursday,4,December,11,2022,2,407.68,-8.59,4,1,2022-11-28,Thursday,4,December,11,2022,0,395.91,3.18,5
826,monday,8,stock,spy,sp_100_daily,Bear,403.95,404.93,398.17,399.59,379.0596,401.55,2022-12-05,Monday,1,December,11,2022,403.95,2022-12-05,Monday,1,December,11,2022,2022-12-15,389.63,8,Thursday,4,December,11,2022,387.885,2022-12-15,8,Thursday,4,December,11,2022,16.065,410.49,2022-12-13,6,Tuesday,2,December,11,2022,6.54,-22.605,14.32,22.4904,1,4.36,1,3.544993192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2022-12-05,Tuesday,2,December,11,2022,0,399.59,4.36,9
827,monday,8,stock,spy,sp_100_daily,Bear,394.11,398.95,393.412,398.95,380.2265,396.181,2022-12-12,Monday,1,December,11,2022,394.11,2022-12-12,Monday,1,December,11,2022,2022-12-22,380.72,8,Thursday,4,December,11,2022,374.77,2022-12-22,8,Thursday,4,December,11,2022,19.34,410.49,2022-12-13,1,Tuesday,2,December,11,2022,16.38,-35.72,13.39,15.9545,1,-4.84,-1,3.397528609,1,2022-12-12,Tuesday,2,December,11,2022,0,398.95,-4.84,3,1,2022-12-15,Tuesday,2,December,11,2022,3,389.63,4.48,6
828,monday,8,stock,spy,sp_100_daily,Bear,383.47,383.82,378.28,380.02,382.5172,381.05,2022-12-19,Monday,1,December,11,2022,383.47,2022-12-19,Monday,1,December,11,2022,2022-12-30,382.43,8,Friday,5,December,11,2022,374.77,2022-12-22,3,Thursday,4,December,11,2022,8.7,387.41,2022-12-21,2,Wednesday,3,December,11,2022,3.94,-12.64,1.04,-1.4672,-1,3.45,1,0.2712076564,1,2022-12-21,Wednesday,3,December,11,2022,2,386.23,-2.76,1,1,2022-12-19,Wednesday,3,December,11,2022,0,380.02,3.45,8
